"Variety Name",Description,Parentage,"IVT Variety","Breeder Name","Breeder Address 1","Breeder Address 2","Breeder Town","Breeder Region","Breeder Postcode","Breeder Country","Breeder Email","Breeder Webpage","Breeder Phone","Breeder Fax","Breeder Agent Name","Breeder Agent Address 1","Breeder Agent Address 2","Breeder Agent Town","Breeder Agent Region","Breeder Agent Postcode","Breeder Agent Country","Breeder Agent Email","Breeder Agent Webpage","Breeder Agent Phone","Breeder Agent Fax","Breeder Rights (expiry)","Shape of tuber","Colour of skin","Colour of flesh","Depth of eyes","Smoothness of skin","Colour of base of lightsprout",Maturity,"Height of plants","Colour of flower","Frequency of berries","Resistance to bruising","Resistance to splitting","Resistance to Potato Virus YO","Resistance to Potato Virus YN","Resistance to Potato Virus A","Resistance to Potato mop top (spraing)","Resistance to Potato Leafroll Virus","Resistance to Potato Cyst Nematode (Pa 2/3 - 1) (Globodera pallida Pa 2/3 - 1)","Resistance to Potato Cyst Nematode (Ro1) (Globodera rostochiensis Ro1)","Resistance to common scab (Streptomyces scabiei)","Resistance to blackleg (Pectobacterium atrosepticum)","Resistance to dry rot (Fusarium sulphureum)","Resistance to dry rot (Fusarium coeruleum)","Resistance to skin spot (Polyscytalum pustulans)","Resistance to silver scurf (Helminthosporium solani)","Resistance to black dot (Colletotrichum coccodes)","Resistance to powdery scab (Spongospora subterranea)","Resistance to late blight on tubers (Phytophthora infestans)","Resistance to late blight on foliage (Phytophthora infestans)",Dormancy,"Dry Matter",Determinacy,"Cooking Type"
Ellie,"Tubers have good resistance to splitting.Â Â Trials have found good resistance to common scab, potato leafroll virus and potato virus A.Â Â This variety has low resistance to dry rot <i>(Fusarium  coeruleum</i> and <i>Fusarium sulphureum)</i>, potato virus Yn, late blight on foliage and late blight on tubers.Â Â Tests for resistance to potato cyst enematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1","G97TM017001 x G94TT131008",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,-,Oval,Yellow,"Light yellow","Very shallow - shallow",-,Pink,"Early Maincrop",Medium,White,-,4,7,3,1,8,-,8,2,9,8,6,1,3,-,-,-,6,2,2,-,-,-,-
Emblem,"Tubers have excellent  resistance to splitting and some  resistance to bruising.Â Â Trials have found good resistance to potato virus Yo, dry rot (<i>Fusarium coeruleum</i>) and skin spot.Â Â This variety has low resistance to potato leafroll virus and late blight on tubers.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Midas x Valor",1,"Dr J Dunnett, Caithness Varieties Ltd",Clevnagreen,,Freswick,Caithness,"KW1 4XX","UNITED KINGDOM",,,,,-,-,-,-,-,-,-,-,-,-,-,2040,Round,White,"Light yellow",Shallow,-,Pink,"Early Maincrop",Short,"Red violet",-,4,8,7,-,-,-,2,2,9,6,6,4,8,7,6,5,5,3,5,-,-,-,-
Emily,,"Cara x 2883/14",1,"Cullen Allen Limited","8 Wandsworth Drive",,Belfast,"Northern Ireland",,"UNITED KINGDOM",info@cullenallen.co.uk,,"02890 997836",,"Cullen Allen Limited","8 Wandsworth Drive",,Belfast,"Northern Ireland",,"UNITED KINGDOM",info@cullenallen.co.uk,,"02890 997836",,-,-,-,-,-,-,-,-,-,-,-,5,7,-,-,-,8,-,2,8,6,7,1,1,7,6,4,6,2,5,-,-,-,-
Emma,"Excellent tasting potato suitable for early baker production.  Emma combines earliness with good skin finish.  Susceptible to Powdery scab.","Colleen x Estima",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",-,Round,Cream,"Light yellow",Shallow,Smooth,Violet,"First Early","Short - medium",White,Medium,4,5,-,-,-,-,-,1,4,5,6,1,5,3,6,3,3,5,4,-,-,-,-
Epicure,"Epicure is the original 'Ayrshire' early potato and was bred by James Clark in England.  It is a first early variety producing a good yield of round, white-skinned tubers with deep eyes and a white, floury flesh.  It is known for its resistance to withstand frost damage to foliage.  Tests show low resistance to potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa2/3,1","Magnum Bonum x Early Regent",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Round,Cream,White,"Deep - very deep",Medium,Pink,"First Early","Short - medium",White,Absent,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Erntestolz,"Second early maturity.  Good resistance to potato virus Y, gangrene, drought, bruising and skin spot.  Susceptible to common scab, potato cyst nematode and foliage blight.  High dry matter, good fry colour.","Tasso x 63 58",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Short - oval",Cream,"Light yellow",Medium,Medium,Pink,"Second Early",Tall,White,Absent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Estima,"Maincrop prepack potato.  Widely used as 'the' white variety in Supermarkets.  High baker fraction.  Good shape and flavour.  Good resistance to growth cracks and secondary growth.  Susceptible to dry rot <i> Fusarium coeruleum </i> Powdery scab, blackleg potato virus Yo, potato leafroll virus, potato cyst nematode <i> Globodera rostochiensis</i> and <i> Globodera pallida </i>.
","Nopol x G 3014",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,Oval,Cream,"Light yellow","Very shallow - shallow",Smooth,Pink,"Early Maincrop",Medium,White,Few,6,6,2,-,-,-,3,2,2,6,2,6,3,6,4,5,3,5,4,-,-,-,-
Eurostar,"Eurostar has a high yield with strong resistance to nematodes. It is excellent for French fry and table production. It stores well and is suitable for most soil types.
","Victoria x Innovator",,"Stet Holland","Produktieweg 2a",,Emmeloord,,"8304 AV",NETHERLANDS,,,,,"Stet Potato Ltd","12 Vincent Court","Turnstone Road, Teal Park",Lincoln,,"LN6 3AE","UNITED KINGDOM",peter.hewett@stet-potato.com,http://www.stet-potato.com/en/,07788311967,,-,Oval,Cream,Cream,Shallow,Smooth,-,Maincrop,Tall,-,Medium,-,-,4,-,-,-,-,9,9,5,-,-,-,-,-,-,4,7,6,"Very Long",20%,-,Smooth
Excalibur,"Tubers have good  resistance to bruising and splitting.Â Â Trials have found good resistance to late blight on tubers, powdery scab and blackleg.Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.  Susceptible to skin spot.","Saxon x Valor",1,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",2038,Oval,White,Cream,Shallow,-,Pink,Maincrop,"Short - medium",White,-,6,6,4,-,-,-,5,3,9,5,9,5,6,3,6,6,7,7,5,-,-,-,-
Fambo,"Fambo produces high yields of bold tubers, with high early season dry matter content.  Oval to long oval tubers with white skins and light yellow flesh.  Prone to tuber greening and susceptible to Sencorex.  Tests show susceptibility to Blackleg and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1 and resistance to late blight on tubers, potato virus Yo and resistance to potato cyst nematode <i> Globodera rostochiensis </i> Ro1.","Ostara x Provita",1,"Meijer Potato","Bathseweg 45",,Rilland,,"4411 RK ",NETHERLANDS,info@meijerpotato.com,https://www.meijerpotato.com/en/,"+31 (0)113 - 76 01 00",,"Meijer Potato UK","Bayfield Brecks Barns,","Garden Lane,","Letheringsett, Holt",Norfolk,"NR25 7DZ","UNITED KINGDOM",info@meijerpotato.co.uk,www.meijerpotato.co.uk,"01263 710602",,2016,Oval,Cream,"Light yellow","Shallow - medium",Medium,Pink,"Second Early",Medium,White,Absent,5,5,7,-,-,-,5,2,9,6,2,-,-,-,-,-,-,8,4,-,-,-,-
Fandango,,"Famosa x Cara",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","IPM Potato Group Limited","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info.uk@ipmpotato.com,www.ipmpotato.com," +44 1307 818131",,2043,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,8,-,2,8,5,4,1,6,6,8,6,5,3,4,-,-,-,-
Fianna,"Maincrop processing.  Can be utilised in the Chipping market.  Good shape.  Good resistance to growth cracks and secondary growth.  Higher levels of nitrogen are required to help reduce DM.  Very low sugar accumulation, giving excellent long-term storage.  Susceptible to late blight on tubers, potato cyst nematode <i> Globodera pallida</i> Pa2/3,1.  Tests show resistance to Dry rot <i> Fusarium sulphureum </i>, Powdery scab, Skin spot, splitting, bruising, potato virus Yo and resistant to potato cyst nematode <i> Globodera rostochiensis </i> .
","KO 62-660 x AM 66-42",1,"Konst Research BV","Speringweg 970",,Zwaanshoek,,NL2136,NETHERLANDS,,,,,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",2018,Oval,Cream,White,Shallow,Smooth,Pink,Maincrop,-,White,Few,7,7,7,-,-,-,6,2,9,5,6,7,4,8,5,5,7,3,4,-,-,-,-
FL2339,,"FL 2208 X FL 2101",1,Pepsico,"c/o Cambridge University Farm","Huntingdon Road",Girton,Cambridge,"CB3 0LH","UNITED KINGDOM",,,,,Pepsico,"c/o Cambridge University Farm","Huntingdon Road",Girton,Cambridge,"CB3 0LH","UNITED KINGDOM",,,,,-,"Short - oval",Yellow,"Medium yellow",Shallow,-,Violet,"Second Early","Medium - tall",-,-,2,7,-,3,4,-,8,2,8,5,7,1,3,-,-,-,4,3,4,-,-,-,-
Fontane,"Trials have found resistance to potato virus Yo and potato cyst nematode <i> Globodera rostochiensis </i> .Â Â Susceptibility to <i>Globodera pallida</i> Pa 2/3, 1, Blackleg, and late blight on foliage.  ","Agria x AR 76-034-03",1,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,Oval,White,"Medium yellow","Shallow - medium",Medium,Blue,"Early Maincrop","Medium - tall",White,Medium,6,5,9,-,-,-,6,2,9,5,5,4,6,7,5,3,4,5,3,-,-,-,-
Foremost,".Â Â This variety has low resistance to late blight on foliage, late blight on tubers, common scab, potato leafroll virus and potato virus Yo.","Katahdin x (Epicure x Pepo)",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Short - oval",White,Cream,"Shallow - medium",-,Pink,"First Early","Short - medium",White,-,-,-,3,-,-,-,2,-,-,3,-,-,5,4,-,-,-,2,2,-,-,-,-
Gabriel,"Gabriel is a maincrop  variety.Â Â This variety is particularily suitable for crisping.Â Â Tubers have some  resistance to splitting and good resistance to bruising.Â Â Trials have found good resistance to dry rot (<i>F. coeruleum and F. sulphureum</i>) and blackleg.Â Â This variety has low resistance to late blight on tubers.Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Round,White,White,Deep,-,Blue,Maincrop,Tall,Violet,Many,6,5,-,-,-,-,6,3,2,5,8,7,9,-,-,-,3,1,4,-,-,-,-
Gael,"Maincrop processing variety..","Agria x Donald",1,"Strathmore Potatoes Ltd","West Craig","Dundee Road",Forfar,Angus,"DD8 4XE","UNITED KINGDOM",,www.strathmorepotatoes.co.uk,"01307 464 654","01307 464 200","Strathmore Potatoes Ltd","West Craig","Dundee Road",Forfar,Angus,"DD8 4XE","UNITED KINGDOM",,www.strathmorepotatoes.co.uk,"01307 464 654","01307 464 200",-,Oval,Yellow,"Medium yellow",Shallow,Smooth,Blue,Maincrop,Medium,White,Few,5,1,-,2,8,-,7,2,9,6,1,1,7,-,-,-,7,2,5,Long,21%,"Group 3",Smooth
Galactica,"Excellent high yielding early parti-coloured variety.  Galactica shows resistance to tuber blight, common scab and Potato Cyst Nematode <i>Globodera Rostochiensis</i> Ro1 but susceptibility to foliage blight.","Torridon x Picasso",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",2035,"Oval - long","Red parti-coloured","Light yellow","Shallow - medium",-,Pink,"Early Maincrop","Medium - tall","Red violet",Few,-,-,-,-,-,-,-,-,9,8,5,-,-,-,-,-,5,7,3,-,-,-,-
Gatsby,"Tubers have good resistance to splitting and some resistance to bruising.Â Â Trials have found good resistance to dry rot (<i>F. coeruleum</i>), powdery scab and potato virus A.Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Saxon x Valor",1,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",2043,"Oval - long",White,Cream,Shallow,-,Pink,"Early Maincrop","Short - medium","Red violet",-,5,7,5,5,9,-,5,3,7,5,3,7,4,7,6,7,8,3,7,-,-,-,-
Gemson,"Tubers have good  resistance to splitting.Â Â Trials have found good resistance to powdery scab, blackleg, silver scurf and potato leafroll virus.Â Â This variety has low resistance to dry rot <i>Fusarium sulphureum</i> and <i>Fusarium coeruleum </i>, Bruising and late blight on tubers. Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","SCRI.85.C.4d.8 x Maris Peer",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,"Grampian Growers",Logie,,Montrose,Angus,"DD10 9LD","UNITED KINGDOM",archie@grampiangrowers.co.uk,,"+44 (0)1674 830555",,2037,"Short - oval",White,Cream,"Shallow - medium",Smooth,Pink,"Second Early",Medium,"Red violet",Medium,3,6,4,-,-,-,9,2,1,5,8,1,3,5,6,5,7,2,4,-,-,-,-
Georgina,,"L96/225/309 x E96/22/53",1,Europlant,"Wulf-Werum-Strasse 1",,Luneburg,,21337,GERMANY,,www.europlant.biz,"+49 4131 7480-05",,"Branston Ltd","Mere Road",Branston,Lincoln,Lincolnshire,"LN4 1NJ","UNITED KINGDOM",,,,,-,-,-,-,-,-,-,-,-,-,-,6,4,-,-,-,8,-,2,8,6,4,3,5,4,7,5,4,2,4,-,-,-,-
Gervioline,"Tubers have poor  resistance to splitting and good  resistance to bruising.Â Â Trials have found good resistance to dry rot (<i>Fuarium coeruleum</i>).   This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>) , potato leafroll virus, late blight on tubers, late blight on foliage and splitting.","G94TP013008 x Felsina",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,2040,Long,Blue,Cream,Shallow,-,Blue,"Second Early","Short - medium",Violet,-,7,2,4,-,-,-,2,4,4,6,6,1,7,-,-,-,6,3,3,-,-,-,-
"Golden Beauty",,"FL 2006 x JHI 12601 ab1",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Round,Yellow,"Medium yellow","Very shallow - shallow",-,Blue,Maincrop,Medium,"Blue violet",-,3,7,-,9,9,-,6,3,2,6,9,4,4,-,-,-,6,5,-,-,-,-,-
"Golden Nugget","Tubers have good  resistance to bruising and splitting.Â Â Trials have found good resistance to dry rot <i>Fusarium coeruleum</i> and <i>sulphureum</i>), powdery scab, common scab, blackleg and potato leafroll virus. Â Tests for resistance to potato cyst nematode demonstrated partial resistance to  both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","Celine x ZD 08-98",1,"Zella J. Doig",Cavilston,"Old Fargie",Glenfarg,Perth,"PH29 9QF","UNITED KINGDOM",,,,,"Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2040,"Short - oval",White,Cream,"Very shallow - shallow",-,Pink,Maincrop,Short,White,-,6,7,4,-,-,-,9,5,6,6,6,9,7,7,3,6,8,3,3,-,-,-,-
"Golden Sun",,"FL 2006 x Erasmus",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Short - oval",White,White,Shallow,-,Blue,"Late Maincrop","Medium - tall","Blue violet",-,5,7,-,2,9,-,8,6,2,6,9,1,6,-,-,-,5,3,-,-,-,-,-
"Golden Wonder","Trials have found good resistance to dry rot, skin spot and common scab.Â Â This variety has low resistance to potato leafroll virus and potato virus Yo ","Seedling of Early Rose",1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Oval - long",Russet,"Light yellow","Shallow - medium",Medium,Blue,Maincrop,"Very tall","Blue violet",Few,-,-,2,-,-,-,2,-,-,8,-,-,7,8,-,-,-,6,4,-,-,-,-
Gourmandine,"Gourmandine is a salad variety with a long shape, yellow skin and creamy yellow flesh colour.  Tests for potato cyst nematode have demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1 and <i>Globodera pallida</i> Pa 2/3, 1.  The variety has resistance to bruising and powdery scab.","Charlotte x Estima",,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",-,"Oval - long",Yellow,"Light yellow","Very shallow - shallow",-,-,"Second Early",-,Violet,-,7,6,5,-,1,5,6,1,4,6,4,-,-,-,-,-,7,5,5,"Very Long",19.2%,-,Salad
Grange,,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Short - oval",White,"Light yellow","Shallow - medium",-,Blue,Maincrop,-,-,-,1,5,2,-,-,-,2,2,2,6,8,4,5,-,-,-,5,2,4,-,-,-,-
Gravity,"Maincrop variety with yellow tubers.  Testing was conducted in one year only for common scab and mop top (spraing), the rating based on this is a 3 for common scab and a 6 for mop top (spraing).","Setanta x T2277/50",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","IPM Potato Group Limited","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info.uk@ipmpotato.com,www.ipmpotato.com," +44 1307 818131",,2046,"Oval - long",Yellow,"Medium yellow",Shallow,-,-,Maincrop,-,-,-,5,5,-,-,-,-,-,2,2,-,6,3,7,7,7,6,6,5,4,-,-,-,-
Gwenne,,"INRA 94T97.43 * G93TT296006",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,-,Long,Yellow,"Medium yellow",Shallow,-,Violet,"Second Early","Medium - tall",White,-,-,-,-,-,-,-,-,2,9,3,7,-,-,7,9,2,3,2,4,-,-,-,-
Habibi,"Habibi is very suitable for drought prone areas.  It shows good tuber blight and common scab resistance.  It is resistant to potato cyst nematode <i> Globodera rostochiensis </i>  Ro1. It produces high yields of tubers with good appearance.  Suitable for boiling and steaming.","Famosa x Red Cara",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",2035,"Oval - long","Red parti-coloured",White,Shallow,Medium,Pink,Maincrop,Medium,White,Medium,-,-,-,-,-,-,-,-,9,7,4,-,-,-,-,-,3,7,4,-,-,-,-
Harlequin,"Harlequin is a speciality variety with delicate and waxy texture.  Long tubers with parti-colour skins and cream flesh.  Will produce high tuber numbers.  Excellent cooking qualities. Susceptible to potato cyst nematode <i> Globodera rostochiensis </i> Ro1.","Charlotte x Pink Fir Apple",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,"Strathmore Potatoes Ltd","West Craig","Dundee Road",Forfar,Angus,"DD8 4XE","UNITED KINGDOM",,www.strathmorepotatoes.co.uk,"01307 464 654","01307 464 200",2034,"Very long","Red parti-coloured",Cream,"Very shallow",-,Pink,"Early Maincrop",Tall,White,Few,-,-,5,-,-,-,5,-,2,4,-,-,-,-,-,4,5,6,4,-,-,-,-
Harmony,"Harmony is ideally suited to the UK washing market, giving very high yields of bold bright tubers with low levels of outgrades. It has excellent storage characteristics with long natural dormancy and resistance to black dot, skin spot and bruising.  Susceptible to Dry rot <i> Fusarium sulphureum </i> Powdery scab, silver scurf and potato virus Yo.","Nadine x Stamina",1,"Caithness Potato Breeders Ltd","Brigade House","Brigade Street",Blackheath,London,"SE3 0TW","UNITED KINGDOM",exportenquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)20 8297 1020","+44 (0)20 8297 2125","Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2028,Round,White,White,Shallow,Smooth,Pink,"Early Maincrop","Short - medium","Red violet",Absent,7,6,3,-,-,-,6,4,4,6,3,3,5,8,3,9,2,3,5,-,-,-,-
Harry,,"Mozart x Asterix",1,"Cullen Allen Limited","8 Wandsworth Drive",,Belfast,"Northern Ireland",,"UNITED KINGDOM",info@cullenallen.co.uk,,"02890 997836",,"Cullen Allen Limited","8 Wandsworth Drive",,Belfast,"Northern Ireland",,"UNITED KINGDOM",info@cullenallen.co.uk,,"02890 997836",,-,"Short - oval",White,"Light yellow","Very shallow",-,Pink,"Early Maincrop",Medium,-,-,5,6,-,3,9,7,6,2,8,5,6,4,8,4,6,4,5,1,-,-,-,-,-
